28923219,"Piazza Francesco Ferrucci"
72233439,"Piazza Francesco Ferrucci"
87997224,"Piazza Gavi"
86572790,"Piazza Giampaolo Bartolommei"
80864351,"Piazza Giorgio Caproni"
164652116,"Piazza Giovanni Fattori"
271016398,"Piazza Giovanni Fattori"
30816494,"Piazza Giovanni Fattori"
28848187,"Piazza Giovanni Maria Lavagna"
297371258,"Piazza Giovanni Maria Lavagna"
297371261,"Piazza Giovanni Maria Lavagna"
297371263,"Piazza Giovanni Maria Lavagna"
41080968,"Piazza Giovanni Maria Lavagna"
134470082,"Piazza Girolamo Savonarola"
153593147,"Piazza Girolamo Savonarola"
137331750,"Piazza Giuseppe Emiliano Modigliani"
36375753,"Piazza Giuseppe Emiliano Modigliani"
36375762,"Piazza Giuseppe Emiliano Modigliani"
,"Piazza Giuseppe Garibaldi"
30706194,"Piazza Giuseppe Garibaldi"
114098139,"Piazza Giuseppe Mazzini"
114139456,"Piazza Giuseppe Mazzini"
114139480,"Piazza Giuseppe Mazzini"
134647520,"Piazza Giuseppe Mazzini"
278996686,"Piazza Giuseppe Mazzini"
34241474,"Piazza Giuseppe Mazzini"
58665460,"Piazza Giuseppe Mazzini"
,"Piazza Giuseppe Micheli"
137027104,"Piazza Giuseppe Micheli"
78845708,"Piazza Giuseppe Micheli"
78845715,"Piazza Giuseppe Micheli"
,"Piazza Giuseppe Saragat"
198225971,"Piazza Giuseppe di Vittorio"
198225985,"Piazza Giuseppe di Vittorio"
198225988,"Piazza Giuseppe di Vittorio"
189674797,"Piazza Grande"
28556675,"Piazza Grande"
34942457,"Piazza Grande"
37127012,"Piazza Grande"
37127013,"Piazza Grande"
37127014,"Piazza Grande"
37127015,"Piazza Grande"
174849962,"Piazza Leonetto Cappiello"
30628748,"Piazza Leonetto Cappiello"
30628751,"Piazza Leonetto Cappiello"
30630493,"Piazza Leonetto Cappiello"
116019319,"Piazza Luigi Orlando"
313952125,"Piazza Luigi Orlando"
34241475,"Piazza Luigi Orlando"
40645425,"Piazza Manin"
40645426,"Piazza Manin"
115976946,"Piazza Matteotti"
146665795,"Piazza Matteotti"
146665796,"Piazza Matteotti"
174849965,"Piazza Matteotti"
30496691,"Piazza Matteotti"
58665471,"Piazza Matteotti"
58665472,"Piazza Matteotti"
58665473,"Piazza Matteotti"
58665474,"Piazza Matteotti"
84803127,"Piazza Matteotti"
84803137,"Piazza Matteotti"
84803138,"Piazza Matteotti"
61982266,"Piazza Odoardo Borrani"
61982268,"Piazza Odoardo Borrani"
86572798,"Piazza Odoardo Borrani"
150571576,"Piazza Pamela Ognissanti"
92241026,"Piazza Pamela Ognissanti"
130783730,"Piazza Reggimento Paracadutisti Nembo"
164637155,"Piazza Reggimento Paracadutisti Nembo"
202338788,"Piazza Reggimento Paracadutisti Nembo"
202338789,"Piazza Reggimento Paracadutisti Nembo"
75041616,"Piazza Reggimento Paracadutisti Nembo"
,"Piazza San Jacopo in Acquaviva"
211767814,"Piazza San Jacopo in Acquaviva"
201698148,"Piazza San Simone"
114095822,"Piazza Santi Pietro e Paolo"
35202318,"Piazza Santi Pietro e Paolo"
86902903,"Piazza Santi Pietro e Paolo"
86902904,"Piazza Santi Pietro e Paolo"
86902910,"Piazza Santi Pietro e Paolo"
58304993,"Piazza Unità d'Italia"
72135271,"Piazza Vigo"
201513722,"Piazza Villa Chayes"
230723260,"Piazza Villa Chayes"
29114204,"Piazza Villa Chayes"
28390685,"Piazza dei Domenicani"
58665514,"Piazza dei Domenicani"
29421085,"Piazza dei Donatori di sangue"
240494398,"Piazza dei Legnami"
75596918,"Piazza dei Legnami"
75596919,"Piazza dei Legnami"
30706188,"Piazza dei Mille"
58665517,"Piazza dei Mille"
58665518,"Piazza dei Mille"
143840308,"Piazza del Castello"
203184888,"Piazza del Castello"
160469568,"Piazza del Cisternone"
160469572,"Piazza del Cisternone"
23681817,"Piazza del Cisternone"
250690059,"Piazza del Cisternone"
58652203,"Piazza del Fiore"
58652204,"Piazza del Fiore"
,"Piazza del Luogo Pio"
191695579,"Piazza del Mercatino"
30924338,"Piazza del Municipio"
137027107,"Piazza del Pamiglione"
34167246,"Piazza del Pamiglione"
271173653,"Piazza del Portuale"
78845725,"Piazza della Colonnella"
250692200,"Piazza della Pescheria Nuova"
122901743,"Piazza della Repubblica"
139567241,"Piazza della Repubblica"
139567244,"Piazza della Repubblica"
23681824,"Piazza della Repubblica"
23681860,"Piazza della Repubblica"
254192628,"Piazza della Repubblica"
254192629,"Piazza della Repubblica"
254192630,"Piazza della Repubblica"
254192631,"Piazza della Repubblica"
29030319,"Piazza della Repubblica"
32912591,"Piazza della Repubblica"
22726437,"Piazza della Stazione"
,"Piazza della Vittoria"
208896208,"Piazza della Vittoria"
208920437,"Piazza della Vittoria"
29030313,"Piazza della Vittoria"
29087246,"Piazza della Vittoria"
29093999,"Piazza della Vittoria"
293770189,"Piazza della Vittoria"
60788450,"Piazza della Vittoria"
82226070,"Piazza della Vittoria"
112294174,"Piazza delle Carrozze"
134814850,"Piazza delle Fiamme Gialle"
36375754,"Piazza delle Isole"
29856005,"Piazza di Montenero"
88268071,"Piazza di Montenero"
202456908,"Piazza di Vittorio"
202456909,"Piazza di Vittorio"
202456910,"Piazza di Vittorio"
29421067,"Piazza di Vittorio"
114096939,"Piazza la Giovine Italia"
114139425,"Piazza la Giovine Italia"
86902932,"Piazza la Giovine Italia"
202589585,"Piazzale Montello"
202589586,"Piazzale Montello"
202589587,"Piazzale Montello"
202589588,"Piazzale Montello"
202589589,"Piazzale Montello"
202589590,"Piazzale Montello"
28953885,"Piazzale Montello"
