ID_VIA_ORIGINE,DESCRIZIONE_ESTESA
490095020,"VIA A.NARDINI DESP.MOSPIGNOTTI"
490090020,"VIA ABRUZZI"
490090030,"VIA ACCADEMIA LABRONICA"
490093540,"VIA ACHILLE GRANDI"
490097190,"VIA ACHILLE VALENTI"
490094746,"VIA ADOLFO MINGHI"
490096930,"VIA ADOLFO TOMMASI"
490090070,"VIA ADRIANA"
490091640,"VIA ADRIANO CECIONI"
490093830,"VIA ADRIANO LEMMI"
490090080,"VIA ADUA"
490090115,"VIA AGRESTE"
490094840,"VIA ALBERTO MONTANARI"
490092310,"VIA ALCIDE DE GASPERI"
490094760,"VIA ALDOBRANDINO MOCHI"
490092500,"VIA ALESSANDRO DOVERI"
490093980,"VIA ALESSANDRO LOTTI"
490095380,"VIA ALESSANDRO PANNOCCHIA"
490095630,"VIA ALESSANDRO PIERONI"
490097550,"VIA ALESSANDRO VOLTA"
490090370,"VIA ALFREDO ASCOLI"
490091285,"VIA ALFREDO CAPPELLINI"
490091530,"VIA ALFREDO CATALANI"
490093685,"VIA ALFREDO JERI"
490094120,"VIA ALFREDO MAFFI"
490096650,"VIA ALFREDO SOFFREDINI"
490094770,"VIA AMEDEO MODIGLIANI"
490092143,"VIA ANDREA COSTA"
490092360,"VIA ANDREA DE PAZZI"
490096575,"VIA ANDREA SGARALLINO"
490095320,"VIA ANGELICA PALLI"
490096890,"VIA ANGELINA TIBERINI"
490090835,"VIA ANGELO BIAGIO BIAMONTI"
490090450,"VIA ANGIOLO BADALONI"
490096940,"VIA ANGIOLO TOMMASI"
490092950,"VIA ANNA FRANK"
490090435,"VIA ANTONIO BACCHELLI"
490090485,"VIA ANTONIO BALDOVINETTI"
490092050,"VIA ANTONIO CORAZZI"
490096380,"VIA ANTONIO DA SANGALLO"
490095240,"VIA ANTONIO FEDERICO OZANAM"
490093510,"VIA ANTONIO GRAMSCI"
490093710,"VIA ANTONIO LABRIOLA"
490094250,"VIA ANTONIO MANGINI"
490094655,"VIA ANTONIO MEUCCI"
490095250,"VIA ANTONIO PACINOTTI"
490096260,"VIA ANTONIO ROSMINI SERBATI"
490097667,"VIA ARAMIS GUELFI"
490093235,"VIA ARCANGELO GHISLERI"
490097530,"VIA ARISTIDE VIVARELLI"
490092400,"VIA ARMANDO DIAZ"
